月份,消费者信心指数_指数值,消费者信心指数_同比增长,消费者信心指数_环比增长,消费者满意指数_指数值,消费者满意指数_同比增长,消费者满意指数_环比增长,消费者预期指数_指数值,消费者预期指数_同比增长,消费者预期指数_环比增长,,,,,,,,,
2013年02月份,108.2,3.03%,3.54%,100.6,4.63%,4.68%,113.3,2.14%,2.91%,,,,,,,,,
2013年01月份,104.5,0.56%,0.77%,96.1,0.29%,-1.74%,110.1,0.72%,2.32%,,,,,,,,,
2012年12月份,103.7,3.23%,-1.33%,97.8,4.96%,-0.81%,107.6,2.16%,-1.65%,,,,,,,,,
2012年11月份,105.1,8.32%,-0.91%,98.6,9.54%,-2.53%,109.4,7.56%,0.07%,,,,,,,,,
2012年10月份,106.06,5.56%,5.17%,101.16,10.19%,5.33%,109.33,2.90%,5.08%,,,,,,,,,
2012年09月份,100.84,-2.44%,1.44%,96.04,0.94%,3.32%,104.05,-4.41%,0.32%,,,,,,,,,
2012年08月份,99.41,-5.32%,1.23%,92.95,-4.07%,-0.37%,103.71,-6.06%,2.18%,,,,,,,,,
2012年07月份,98.2,-7.01%,-1.11%,93.3,-3.01%,0.00%,101.5,-9.21%,-1.65%,,,,,,,,,
2012年06月份,99.3,-8.14%,-4.68%,93.3,-9.59%,-3.95%,103.2,-7.36%,-5.21%,,,,,,,,,
2012年05月份,104.18,-1.53%,1.14%,97.14,-7.13%,2.58%,108.87,2.13%,0.34%,,,,,,,,,
2012年04月份,103,-3.38%,2.95%,94.7,-9.90%,4.93%,108.5,0.93%,1.81%,,,,,,,,,
2012年03月份,100.04,-7.02%,-4.73%,90.25,-13.84%,-6.14%,106.57,-2.52%,-3.93%,,,,,,,,,
2012年02月份,105.02,5.42%,1.05%,96.15,-3.39%,0.34%,110.93,11.32%,1.48%,,,,,,,,,
2012年01月份,103.92,4.02%,3.44%,95.82,-3.99%,2.83%,109.31,9.31%,3.79%,,,,,,,,,
2011年12月份,100.46,0.06%,3.53%,93.18,-6.91%,3.52%,105.32,4.69%,3.55%,,,,,,,,,
2011年11月份,97.03,-5.69%,-3.42%,90.01,-12.18%,-1.95%,101.71,-1.35%,-4.27%,,,,,,,,,
2011年10月份,100.47,-3.16%,-2.81%,91.8,-10.95%,-3.52%,106.25,2.03%,-2.39%,,,,,,,,,
2011年09月份,103.37,-0.70%,-1.55%,95.15,-8.02%,-1.81%,108.85,4.18%,-1.40%,,,,,,,,,
2011年08月份,105,-2.14%,-0.57%,96.9,-8.76%,0.73%,110.4,2.32%,-1.25%,,,,,,,,,
2011年07月份,105.6,-2.04%,-2.31%,96.2,-9.59%,-6.78%,111.8,2.95%,0.36%,,,,,,,,,
2011年06月份,108.1,-0.37%,2.17%,103.2,-4.27%,-1.34%,111.4,2.30%,4.50%,,,,,,,,,
2011年05月份,105.8,-2.04%,-0.75%,104.6,-2.88%,-0.48%,106.6,-1.48%,-0.84%,,,,,,,,,
2011年04月份,106.6,0.00%,-0.93%,105.1,-1.04%,0.33%,107.5,0.66%,-1.67%,,,,,,,,,
2011年03月份,107.6,-0.28%,8.01%,104.75,-2.56%,5.26%,109.32,1.04%,9.71%,,,,,,,,,
2011年02月份,99.62,-4.39%,-0.28%,99.52,-4.03%,-0.28%,99.65,-4.64%,-0.35%,,,,,,,,,
2011年01月份,99.9,-4.58%,-0.50%,99.8,-4.77%,-0.30%,100,-4.40%,-0.60%,,,,,,,,,
2010年12月份,100.4,-3.39%,-2.42%,100.1,-3.54%,-2.33%,100.6,-3.25%,-2.43%,,,,,,,,,
2010年11月份,102.89,-0.43%,-0.83%,102.49,-1.26%,-0.58%,103.1,0.11%,-1.00%,,,,,,,,,
2010年10月份,103.75,0.52%,-0.34%,103.09,-0.91%,-0.34%,104.14,1.46%,-0.33%,,,,,,,,,
2010年09月份,104.1,1.27%,-2.98%,103.44,-0.23%,-2.60%,104.49,2.25%,-3.16%,,,,,,,,,
2010年08月份,107.3,4.48%,-0.46%,106.2,2.31%,-0.19%,107.9,5.83%,-0.64%,,,,,,,,,
2010年07月份,107.8,5.56%,-0.65%,106.4,2.74%,-1.30%,108.6,7.37%,-0.28%,,,,,,,,,
2010年06月份,108.5,7.45%,0.46%,107.8,5.42%,0.09%,108.9,8.78%,0.65%,,,,,,,,,
2010年05月份,108,6.76%,1.31%,107.7,5.20%,1.41%,108.2,7.83%,1.31%,,,,,,,,,
2010年04月份,106.6,6.06%,-1.20%,106.2,4.34%,-1.21%,106.8,7.18%,-1.29%,,,,,,,,,
2010年03月份,107.9,7.55%,3.55%,107.5,5.01%,3.66%,108.2,9.34%,3.54%,,,,,,,,,
2010年02月份,104.2,3.19%,-0.48%,103.7,1.06%,-1.05%,104.5,4.63%,-0.10%,,,,,,,,,
2010年01月份,104.7,3.40%,0.75%,104.8,1.78%,0.99%,104.6,4.49%,0.60%,,,,,,,,,
2009年12月份,103.92,2.09%,0.57%,103.78,0.56%,-0.02%,103.98,3.05%,0.96%,,,,,,,,,
2009年11月份,103.33,-1.78%,0.11%,103.8,-2.17%,-0.23%,102.99,-1.54%,0.34%,,,,,,,,,
2009年10月份,103.22,-4.34%,0.41%,104.04,-2.59%,0.34%,102.64,-5.40%,0.45%,,,,,,,,,
2009年09月份,102.8,-5.61%,0.09%,103.68,-3.10%,-0.11%,102.18,-7.19%,0.23%,,,,,,,,,
2009年08月份,102.7,-6.04%,0.57%,103.8,-3.17%,0.23%,101.95,-7.82%,0.80%,,,,,,,,,
2009年07月份,102.12,-7.33%,1.13%,103.56,-4.11%,1.28%,101.15,-9.37%,1.04%,,,,,,,,,
2009年06月份,100.97,-8.04%,-0.18%,102.25,-5.06%,-0.12%,100.11,-9.97%,-0.23%,,,,,,,,,
2009年05月份,101.16,-8.03%,0.65%,102.37,-4.50%,0.58%,100.34,-10.17%,0.69%,,,,,,,,,
2009年04月份,100.51,-8.38%,0.19%,101.78,-4.97%,-0.58%,99.65,-10.47%,0.70%,,,,,,,,,
2009年03月份,100.32,-9.05%,-0.65%,102.37,-5.03%,-0.23%,98.96,-11.57%,-0.92%,,,,,,,,,
